id,month,state,permit,permit_recheck,handgun,long_gun,other,multiple,admin,prepawn_handgun,prepawn_long_gun,prepawn_other,redemption_handgun,redemption_long_gun,redemption_other,returned_handgun,returned_long_gun,returned_other,rentals_handgun,rentals_long_gun,private_sale_handgun,private_sale_long_gun,private_sale_other,return_to_seller_handgun,return_to_seller_long_gun,return_to_seller_other,totals,year
41,07,Puerto Rico,0.0,0.0,2283.0,256.0,107.0,34,0.0,0.0,0.0,1.0,20.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,173.0,27.0,1.0,1.0,2.0,0.0,2908,2020
96,06,Puerto Rico,0.0,0.0,2838.0,302.0,153.0,34,0.0,1.0,0.0,0.0,15.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,152.0,29.0,5.0,2.0,1.0,0.0,3533,2020
151,05,Puerto Rico,0.0,0.0,1252.0,135.0,55.0,25,0.0,1.0,0.0,0.0,5.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,39.0,4.0,0.0,0.0,0.0,0.0,1524,2020
206,04,Puerto Rico,0.0,0.0,76.0,10.0,7.0,3,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,97,2020
261,03,Puerto Rico,0.0,0.0,660.0,104.0,34.0,18,0.0,1.0,0.0,0.0,6.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,28.0,8.0,0.0,0.0,1.0,0.0,862,2020
316,02,Puerto Rico,0.0,0.0,1540.0,126.0,45.0,16,0.0,0.0,0.0,1.0,23.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,49.0,13.0,0.0,3.0,0.0,0.0,1819,2020
371,01,Puerto Rico,0.0,0.0,1559.0,139.0,75.0,41,0.0,0.0,0.0,0.0,13.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,80.0,2.0,0.0,0.0,0.0,1.0,1911,2020
426,12,Puerto Rico,0.0,0.0,1767.0,195.0,131.0,26,0.0,0.0,0.0,0.0,17.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2138,2019
481,11,Puerto Rico,0.0,0.0,1902.0,203.0,114.0,30,0.0,0.0,0.0,1.0,20.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2273,2019
536,10,Puerto Rico,0.0,0.0,1892.0,161.0,79.0,31,0.0,0.0,0.0,0.0,22.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2189,2019
